symbol	mcap_cr	pe	pb	industry
360ONE	37749	32.6	4.0	Stockbroking & Allied
3MINDIA	33102	87.5	20.6	Diversified
AADHARHFC	19770	19.5	2.8	Housing Finance Company
AARTIIND	14678	38.8	2.6	Specialty Chemicals
AAVAS	9116	14.7	1.9	Housing Finance Company
ABB	131253	78.8	16.7	Heavy Electrical Equipment
ABBOTINDIA	55110	36.1	13.7	Pharmaceuticals
ABCAPITAL	81548	23.5	2.5	Investment Company
ABFRL	7169		1.1	Speciality Retail
ABLBL	11670		9.0	Speciality Retail
ABREL	13032		3.4	Paper & Paper Products
ABSLAMC	27353	27.0	7.7	Asset Management Company
ACC	25579	9.7	1.3	Cement & Cement Products
ACE	9857	23.3	5.5	Construction Vehicles
ACMESOLAR	16963	34.9	3.5	Power Generation
ADANIENSOL	119227	53.2	5.1	Power Distribution
ADANIENT	259067	17.2	4.3	Trading - Minerals
ADANIGREEN	151721	107.6	8.0	Power Generation
ADANIPORTS	319582	24.0	4.5	Port & Port services
ADANIPOWER	314864	27.8	5.4	Integrated Power Utilities
AEGISLOG	20967	27.3	3.5	Trading - Gas
AEGISVOPAK	18849	135.0	3.9	Oil Storage & Transportation
AFCONS	10502	23.3	2.0	Civil Construction
AFFLE	19950	45.6	6.1	IT Enabled Services
AGARWALEYE	13623	107.5	7.0	Hospital
AIAENG	34347	29.5	4.7	Castings & Forgings
AIIL	36028	9.9	2.2	Non Banking Financial Company (NBFC)
AJANTPHARM	34278	33.8	7.9	Pharmaceuticals
AKUMS	7558	23.6	2.4	Pharmaceuticals
AKZOINDIA	13605	7.0	6.0	Paints
ALKEM	62610	26.4	4.7	Pharmaceuticals
ALKYLAMINE	6769	37.6	4.8	Specialty Chemicals
ALOKINDS	6296		-0.3	Other Textile Products
AMBER	22540	137.8	6.2	Household Appliances
AMBUJACEM	106301	28.7	1.9	Cement & Cement Products
ANANDRATHI	27257	74.2	33.5	Financial Products Distributor
ANANTRAJ	16403	30.0	3.6	Residential Commercial Projects
ANGELONE	22414	30.0	3.8	Stockbroking & Allied
APARINDS	39909	41.1	8.2	Other Electrical Equipment
APLAPOLLO	53172	46.5	11.5	Iron & Steel Products
APLLTD	12925	20.4	2.4	Pharmaceuticals
APOLLOHOSP	106012	58.9	11.7	Hospital
APOLLOTYRE	26023	28.1	1.7	Tyres & Rubber Products
APTUS	9933	11.2	2.1	Housing Finance Company
ARE&M	13167	17.7	1.7	Auto Components & Equipments
ARENTERP	12		0.5	Unknown
ASAHIINDIA	20800	67.1	5.6	Auto Components & Equipments
ASHOKLEY	88642	26.8	7.0	Commercial Vehicles
ASIANPAINT	209386	54.4	10.7	Paints
ASTERDM	34674	105.1	7.6	Hospital
ASTRAL	40910	81.0	10.8	Plastic Products - Industrial
ASTRAZEN	19421	96.4	24.3	Pharmaceuticals
ATGL	57600	89.9	12.7	LPG/CNG/PNG/LNG Supplier
ATHERENERG	30032		11.1	2/3 Wheelers
ATUL	18104	30.4	3.1	Specialty Chemicals
AUBANK	66017	28.7	3.6	Other Bank
AUROPHARMA	77851	22.3	2.2	Pharmaceuticals
AWL	23319	24.7	2.4	Edible Oil
AXISBANK	387277	14.8	1.9	Private Sector Bank
BAJAJ-AUTO	249722	28.1	7.3	2/3 Wheelers
BAJAJFINSV	267149	27.9	3.5	Holding Company
BAJAJHFL	66363	26.8	3.1	Housing Finance Company
BAJAJHLDNG	101622	11.6	1.5	Holding Company
BAJFINANCE	528918	29.4	5.1	Non Banking Financial Company (NBFC)
BALKRISIND	41140	31.4	3.9	Tyres & Rubber Products
BALRAMCHIN	9809	22.0	2.5	Sugar
BANDHANBNK	24580	24.4	1.0	Private Sector Bank
BANKBARODA	134331	6.9	0.8	Public Sector Bank
BANKINDIA	65126	6.6	0.8	Public Sector Bank
BASF	14246	37.7	3.8	Specialty Chemicals
BATAINDIA	8566	48.1	5.6	Footwear
BAYERCROP	21017	31.4	6.7	Pesticides & Agrochemicals
BBTC	10010	9.0	1.6	Packaged Foods
BDL	44889	77.7	10.6	Aerospace & Defense
BEACON	212	37.6	4.3	Unknown
BEL	312237	52.2	14.5	Aerospace & Defense
BEML	12576	50.4	4.5	Construction Vehicles
BERGEPAINT	50377	47.7	8.0	Paints
BHARATFORG	79869	70.6	8.5	Auto Components & Equipments
BHARTIARTL	1092079	35.4	8.7	Telecom - Cellular & Fixed line services
BHARTIHEXA	75880	43.2	11.3	Telecom - Cellular & Fixed line services
BHEL	85533	105.4	3.5	Heavy Electrical Equipment
BIKAJI	15953	64.6	10.6	Packaged Foods
BIOCON	57486	72.9	1.7	Pharmaceuticals
BLS	11047	17.2	5.2	Tour Travel Related Services
BLUEDART	11625	45.9	7.1	Logistics Solution Provider
BLUEJET	6292	21.5	5.0	Pharmaceuticals
BLUESTARCO	32183	65.3	10.4	Household Appliances
BONLON	0	25.1	0.6	Unknown
BOSCHLTD	98714	35.8	7.0	Auto Components & Equipments
BPCL	120914	4.8	1.3	Refineries & Marketing
BRIGADE	16898	22.6	2.6	Residential Commercial Projects
BRITANNIA	133321	55.3	35.7	Packaged Foods
BSE	121120	56.2	19.2	Exchange and Data Platform
BSOFT	10194	21.9	2.8	Computers - Software & Consulting
CAMPUS	7188	51.1	9.0	Footwear
CAMS	16568	35.8	13.6	Depositories Clearing Houses and Other Intermediaries
CANBK	118381	5.9	1.0	Public Sector Bank
CANFINHOME	10860	11.1	2.0	Housing Finance Company
CAPLIPOINT	11947	19.5	3.9	Pharmaceuticals
CARBORUNIV	15769	63.8	4.2	Abrasives & Bearings
CARTRADE	8121	42.5	3.5	Unknown
CASTROLIND	17719	18.6	9.3	Lubricants
